Change Physical Footprint: Designator=J2 Old Footprint=SM02B-GHS-TB(LF)(SN) New Footprint=SM02B-GHS-TB(LF)(SN)
Change Physical Footprint: Designator=J4 Old Footprint=SM04B-GHS-TB(LF)(SN)- New Footprint=SM04B-GHS-TB(LF)(SN)-
Change Physical Footprint: Designator=J5 Old Footprint=SM04B-GHS-TB(LF)(SN)- New Footprint=SM04B-GHS-TB(LF)(SN)-
Change Physical Footprint: Designator=J6 Old Footprint=SM04B-GHS-TB(LF)(SN)- New Footprint=SM04B-GHS-TB(LF)(SN)-
Change Physical Footprint: Designator=J7 Old Footprint=SM04B-GHS-TB(LF)(SN)- New Footprint=SM04B-GHS-TB(LF)(SN)-
Change Physical Footprint: Designator=J8 Old Footprint=SM03B-GHS-TB(LF)(SN) New Footprint=SM03B-GHS-TB(LF)(SN)
Change Physical Footprint: Designator=J9 Old Footprint=SM03B-GHS-TB(LF)(SN) New Footprint=SM03B-GHS-TB(LF)(SN)
Change Physical Footprint: Designator=J10 Old Footprint=SM03B-GHS-TB(LF)(SN) New Footprint=SM03B-GHS-TB(LF)(SN)
Change Physical Footprint: Designator=J11 Old Footprint=SM03B-GHS-TB(LF)(SN) New Footprint=SM03B-GHS-TB(LF)(SN)
Change Physical Footprint: Designator=J16 Old Footprint=SM04B-GHS-TB(LF)(SN)- New Footprint=SM04B-GHS-TB(LF)(SN)-
Change Physical Footprint: Designator=J17 Old Footprint=SM04B-GHS-TB(LF)(SN)- New Footprint=SM04B-GHS-TB(LF)(SN)-
